"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F9N0","2019-07-07 00:00:00","75.000","150.000","1.100","27.300","0.850","997.300","-99.000","8.000","-99.000","-99.000","-99.000","30.600","","27.500",""
"C0F9T0","2019-07-07 00:00:00","111.000","167.000","1.100","27.800","0.810","993.100","-99.000","23.500","-99.000","-99.000","-99.000","29.500","","26.000",""
"C0S710","2019-07-07 00:00:00","382.000","168.000","0.600","24.100","0.940","963.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","23.000",""
"C0M680","2019-07-07 00:00:00","37.000","165.000","1.800","26.700","0.910","1003.700","-99.000","13.500","-99.000","-99.000","-99.000","32.600","","25.100",""
"C0X220","2019-07-07 00:00:00","26.000","149.000","2.700","26.700","0.940","1003.500","-99.000","19.000","-99.000","-99.000","-99.000","31.300","","25.600",""
"C0R560","2019-07-07 00:00:00","22.000","80.000","1.000","26.800","0.910","1004.900","-99.000","20.000","-99.000","-99.000","-99.000","31.700","","25.700",""
"C0F9P0","2019-07-07 00:00:00","26.000","199.000","2.500","28.100","0.820","1002.900","-99.000","56.500","-99.000","-99.000","-99.000","30.500","","25.800",""
"C0O970","2019-07-07 00:00:00","71.000","96.000","2.200","25.700","1.000","999.400","-99.000","8.000","-99.000","-99.000","-99.000","32.800","","23.700",""
"C0F0B0","2019-07-07 00:00:00","311.000","183.000","3.400","27.600","0.740","971.100","-99.000","24.500","-99.000","-99.000","-99.000","28.400","","24.700",""
"C0R620","2019-07-07 00:00:00","34.000","251.000","4.200","29.100","0.850","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","28.600",""
"C0C660","2019-07-07 00:00:00","176.000","237.000","2.700","28.900","0.680","983.700","-99.000","0.000","7.900","241.000","","30.900","","28.200",""
"C0M740","2019-07-07 00:00:00","15.000","177.000","2.800","26.800","0.910","1003.800","-99.000","9.000","-99.000","-99.000","-99.000","32.300","","25.400",""
"C0K460","2019-07-07 00:00:00","60.000","190.000","4.800","27.200","0.840","998.600","-99.000","3.500","-99.000","-99.000","-99.000","31.700","","26.100",""
"C0X100","2019-07-07 00:00:00","10.000","143.000","1.600","29.100","0.930","1003.800","-99.000","11.500","-99.000","-99.000","-99.000","32.400","","27.900",""
"C0K560","2019-07-07 00:00:00","117.000","157.000","1.300","27.100","0.820","993.600","-99.000","7.500","-99.000","-99.000","-99.000","32.200","","24.400",""
"C0R150","2019-07-07 00:00:00","105.000","100.000","1.600","25.000","0.990","994.200","-99.000","9.000","-99.000","-99.000","-99.000","33.300","","24.300",""
"C0S690","2019-07-07 00:00:00","522.000","233.000","0.900","23.900","0.940","947.700","-99.000","0.000","-99.000","-99.000","-99.000","36.100","","23.800",""
"C0U870","2019-07-07 00:00:00","474.000","352.000","0.600","26.400","0.690","952.400","-99.000","0.500","-99.000","-99.000","-99.000","30.100","","24.600",""
"C0A520","2019-07-07 00:00:00","48.000","0.000","0.100","28.100","0.800","998.200","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.700",""
"C0X130","2019-07-07 00:00:00","27.000","121.000","1.600","27.200","0.990","1003.500","-99.000","25.500","-99.000","-99.000","-99.000","33.000","","26.300",""
"C0V400","2019-07-07 00:00:00","56.000","109.000","1.500","27.200","0.910","999.800","-99.000","4.000","-99.000","-99.000","-99.000","31.500","","25.000",""
